pid,location,sesid,T,lotteryposition,transfer,payment,kull,sex,age,polparty,cr,cr1,cr2,cr3
123,1,4,3,Y,400,500,2,2,20,2,0,0,0,0
124,1,4,1,Y,350,600,1,2,21,6,0,0,0,0
125,1,4,2,G,400,200,9,2,21,6,1,1,0,0
126,1,4,2,G,200,100,9,2,23,6,0,0,0,0
127,1,4,2,Y,800,100,1,1,21,6,3,1,1,1
128,1,4,2,Y,100,100,1,1,19,2,1,0,0,1
129,1,4,1,Y,400,100,1,1,24,NA,1,0,0,1
130,1,4,3,Y,300,100,1,2,21,2,1,0,1,0
131,1,4,3,Y,0,100,9,1,22,2,1,0,1,0
132,1,4,3,Y,400,600,1,1,21,1,2,0,1,1
133,1,4,3,Y,400,500,9,2,24,3,3,1,1,1
134,1,4,3,Y,400,100,1,2,21,5,0,0,0,0
135,1,4,1,Y,400,100,1,1,19,2,3,1,1,1
136,1,4,2,Y,400,800,1,2,23,2,0,0,0,0
137,1,4,2,G,200,500,1,2,21,5,0,0,0,0
138,1,4,2,Y,300,100,1,2,19,2,0,0,0,0
139,1,4,3,S,250,125,2,2,20,7,0,0,0,0
140,1,4,1,Y,0,100,1,2,23,NA,2,1,0,1
141,1,4,2,Y,200,600,2,1,20,6,3,1,1,1
142,1,4,3,Y,200,900,1,2,19,NA,3,1,1,1
143,1,4,1,Y,400,100,2,1,24,NA,2,1,0,1
145,1,1,1,Y,200,500,1,2,23,6,1,0,0,1
146,1,1,2,G,300,500,2,2,23,5,0,0,0,0
147,1,1,1,Y,400,100,1,2,19,6,1,0,0,1
148,1,1,1,Y,400,500,1,2,21,6,1,0,1,0
149,1,1,3,Y,400,400,9,1,19,2,3,1,1,1
151,1,1,3,S,300,125,1,2,21,2,2,1,0,1
152,1,1,2,G,350,900,1,2,19,3,3,1,1,1
153,1,1,3,Y,500,400,1,2,20,5,2,1,0,1
154,1,1,3,Y,300,500,1,2,20,5,3,1,1,1
155,1,1,3,Y,400,600,2,1,24,2,3,1,1,1
156,1,1,3,Y,400,600,1,2,22,NA,2,0,1,1
157,1,1,1,Y,0,100,1,1,25,NA,2,0,1,1
158,1,1,2,G,400,900,2,1,26,NA,2,1,1,0
159,1,1,2,G,400,500,1,2,19,3,0,0,0,0
160,1,1,1,Y,400,100,2,1,23,5,0,0,0,0
161,1,1,3,Y,300,600,1,2,27,5,1,0,1,0
162,1,1,1,Y,400,500,9,2,21,2,3,1,1,1
163,1,1,2,G,350,900,9,2,25,3,2,1,0,1
164,1,1,1,Y,400,100,1,1,23,NA,2,0,1,1
165,1,1,2,Y,400,900,1,2,28,5,0,0,0,0
166,1,1,3,Y,400,100,2,2,26,2,3,1,1,1
167,1,1,1,Y,400,900,1,1,22,6,2,0,1,1
168,1,1,2,Y,400,500,1,2,24,1,0,0,0,0
171,1,1,1,Y,400,100,1,1,23,2,0,0,0,0
172,1,1,2,G,400,550,9,2,20,6,0,0,0,0
173,1,1,2,Y,400,450,1,2,27,NA,3,1,1,1
174,1,1,1,Y,300,500,1,2,21,2,1,1,0,0
176,1,1,3,Y,200,500,1,2,22,2,0,0,0,0
177,1,1,1,Y,0,100,2,2,23,1,3,1,1,1
178,1,1,2,Y,200,500,9,2,37.25,2,0,0,0,0
179,1,1,3,Y,400,400,9,1,37.25,NA,1,0,0,1
180,1,3,1,Y,100,400,1,2,25,6,1,0,0,1
181,1,3,1,Y,400,600,9,2,22,NA,1,0,1,0
182,1,3,2,G,400,500,9,2,27,2,0,0,0,0
183,1,3,1,Y,400,800,1,2,22,1,1,1,0,0
184,1,3,3,Y,200,500,2,2,27,2,2,0,1,1
185,1,3,3,Y,0,100,2,1,26,NA,3,1,1,1
